name,calories,serving_size_g,fat_total_g,fat_saturated_g,protein_g,sodium_mg,potassium_mg,cholesterol_mg,carbohydrates_total_g,fiber_g,sugar_g
idli,153.9,100.0,1.1,0.2,4.3,195,70,0,29.6,1.4,0.3
dosa,170.5,100.0,3.8,0.6,4.0,97,52,0,30.0,0.9,0.2
poha,113.8,100.0,0.2,0.0,2.1,3,29,0,24.9,0.0,0.0
upma,84.2,100.0,2.6,0.2,2.2,113,51,0,13.6,1.3,1.7
paratha,317.7,100.0,13.1,5.8,6.4,452,120,0,46.1,9.6,4.2
puri,330.2,100.0,22.5,1.8,5.2,197,138,0,28.6,4.2,0.2
dhokla,254.4,100.0,12.9,4.4,9.8,535,167,5,27.5,4.5,9.8
sabudana,366.7,100.0,0.0,0.0,0.2,1,6,0,87.9,0.9,3.3
khichdi,122.4,100.0,1.7,0.9,5.8,63,86,3,21.3,5.8,1.5
vada pav,206.5,100.0,7.4,0.9,5.9,164,84,14,29.8,2.9,2.8
chole,143.8,100.0,8.4,1.1,3.9,122,58,0,14.5,3.9,3.5
omelette,176.7,100.0,14.3,3.3,11.9,296,188,347,0.8,0.0,0.3
vada,186.8,100.0,12.0,0.8,6.2,312,71,0,16.0,2.8,0.6
aloo paratha,231.1,100.0,8.0,3.6,4.7,282,92,0,34.6,6.6,3.2
paneer,299.7,100.0,24.0,12.9,18.2,751,378,70,3.0,0.0,2.3
moong dal,114.1,100.0,1.0,0.1,7.6,226,91,0,19.8,7.7,2.8
bread pakora,279.1,100.0,11.6,1.1,7.6,356,97,0,35.0,3.1,4.1
sev,560.5,100.0,40.3,3.1,14.0,586,201,0,36.4,6.7,6.9
appam,203.2,100.0,5.1,4.5,3.2,145,55,0,36.1,1.3,3.6
sandwich,269.5,100.0,3.2,0.8,10.8,501,150,0,48.9,4.0,5.9
besan,384.7,100.0,6.7,0.7,22.6,63,311,0,56.7,10.7,11.0
chicken tikka,115.7,100.0,4.8,1.2,13.1,105,124,32,4.5,0.9,2.2
paneer tikka,100.4,100.0,8.2,4.3,4.2,250,92,20,3.5,0.8,1.8
vegetable samosa,265.5,100.0,17.5,7.2,3.5,416,51,27,24.0,2.1,1.6
tandoori chicken,132.3,100.0,6.0,2.1,15.4,67,141,68,3.1,0.4,1.9
panipuri,214.5,100.0,14.1,1.1,3.5,156,93,0,21.3,3.0,2.6
seekh kebab,208.3,100.0,12.9,4.9,18.1,561,160,62,5.4,1.3,1.9
fish,129.2,100.0,2.7,0.9,26.0,57,203,56,0.0,0.0,0.0
bhaji,254.8,100.0,18.7,3.0,4.2,13,70,7,19.7,2.8,3.9
lamb chops,312.2,100.0,20.9,10.7,28.6,80,196,91,0.0,0.0,0.0
kebab,110.6,100.0,1.1,0.3,7.4,373,65,18,17.4,1.1,13.1
shami kebab,238.8,100.0,18.6,4.4,12.7,153,121,65,6.4,1.5,1.8
corn,93.9,100.0,1.5,0.2,3.4,1,75,0,21.0,2.4,4.6
mozzarella sticks,329.4,100.0,18.4,6.8,14.6,863,317,36,25.5,2.0,2.3
egg,147.0,100.0,9.7,3.1,12.5,139,199,371,0.7,0.0,0.4
pakora,154.8,100.0,10.9,0.8,3.4,287,55,0,10.6,2.4,3.0
broccoli,35.0,100.0,0.4,0.1,2.4,41,65,0,7.3,3.3,1.4
apple,53.0,100.0,0.2,0.0,0.3,1,11,0,14.1,2.4,10.3
banana,89.4,100.0,0.3,0.1,1.1,1,22,0,23.2,2.6,12.3
pineapple,50.8,100.0,0.1,0.0,0.5,0,8,0,13.0,1.4,9.9
strawberry,31.9,100.0,0.3,0.0,0.7,0,23,0,7.7,2.0,4.9
orange,50.4,100.0,0.1,0.0,0.9,1,23,0,12.4,2.2,8.4
mango,61.6,100.0,0.4,0.1,0.8,0,14,0,14.8,1.6,13.6
avocado,167.2,100.0,15.6,2.1,2.0,7,55,0,8.6,6.7,0.3
kiwi,59.5,100.0,0.5,0.0,1.1,3,33,0,14.9,3.0,9.1
peach,39.9,100.0,0.3,0.0,0.9,0,20,0,9.7,1.5,8.5
watermelon,30.3,100.0,0.1,0.0,0.6,0,10,0,7.4,0.4,6.2
grapes,69.6,100.0,0.2,0.1,0.7,2,20,0,18.1,0.9,15.5
papaya,43.0,100.0,0.3,0.1,0.5,7,9,0,10.8,1.7,7.8
pomegranate,84.2,100.0,1.2,0.1,1.7,2,35,0,18.5,4.1,13.7
cherry,63.8,100.0,0.2,0.0,1.1,0,20,0,15.9,2.1,12.8
jackfruit,94.9,100.0,0.6,0.2,1.7,2,20,0,23.4,1.5,19.0
gulab jamun,293.7,100.0,14.6,3.1,3.9,88,109,11,39.7,0.1,35.9
jalebi,278.9,100.0,6.4,3.8,2.3,8,26,15,52.6,0.7,34.3
kheer,115.2,100.0,4.7,1.9,3.7,37,95,8,15.1,0.3,11.2
halwa,123.8,100.0,6.0,3.1,2.5,45,71,12,15.4,1.0,13.1
carrot halwa,117.4,100.0,5.9,3.1,2.5,45,70,13,15.2,1.0,13.0
ladoo,495.3,100.0,27.0,15.6,10.1,29,142,62,57.2,4.8,34.8
ice cream,207.1,100.0,11.0,6.8,3.5,78,103,44,23.6,0.7,21.3
chocolate ice cream,218.4,100.0,10.8,6.8,3.8,75,107,33,28.6,1.2,25.6
vanilla ice cream,208.2,100.0,11.0,6.8,3.5,80,102,44,23.3,0.7,21.4
butterscotch ice cream,213.8,100.0,9.0,5.6,3.1,127,95,37,29.4,0.6,27.5
strawberry ice cream,189.5,100.0,8.6,5.2,3.2,59,100,28,28.0,0.9,0.0
banana ice cream,182.2,100.0,9.0,5.6,3.1,66,89,36,23.9,1.0,19.8
mint ice cream,215.2,100.0,11.7,7.3,3.5,77,108,42,25.5,0.9,22.8
pistachio ice cream,239.3,100.0,13.5,6.7,4.7,73,136,40,24.0,1.4,20.0
dark chocolate,542.0,100.0,31.9,18.7,4.8,24,205,8,60.9,7.0,48.3
mango ice cream,184.6,100.0,9.3,5.6,3.0,64,87,36,21.8,0.9,19.7
coconut ice cream,262.1,100.0,14.7,12.0,3.2,8,60,0,35.2,1.9,27.1
butter chicken,152.0,100.0,9.6,4.2,9.7,102,108,38,5.8,0.8,2.8
chicken tikka masala,149.9,100.0,9.0,5.1,14.0,879,150,70,4.0,0.8,2.4
rogan josh,96.8,100.0,5.4,1.1,7.4,36,86,21,4.6,1.0,2.4
palak paneer,183.3,100.0,15.0,5.6,7.5,436,156,28,5.1,1.3,2.3
dal makhani,170.9,100.0,9.6,5.0,6.4,189,126,22,15.8,5.3,2.4
biryani,142.9,100.0,4.6,0.8,9.6,200,91,23,15.0,0.7,1.6
chicken biryani,140.2,100.0,4.6,0.8,9.5,202,93,23,15.3,0.7,1.5
tandoori chicken,132.3,100.0,6.0,2.1,15.4,67,141,68,3.1,0.4,1.9
aloo gobi,70.1,100.0,3.6,0.6,1.6,147,38,0,9.3,1.8,1.1
chana masala,146.6,100.0,8.6,1.1,3.9,120,59,0,14.7,3.9,3.6
paneer tikka,100.4,100.0,8.2,4.3,4.2,250,92,20,3.5,0.8,1.8
kofta,248.5,100.0,15.9,6.5,20.4,684,180,77,4.4,1.6,0.6
mutton curry,147.3,100.0,11.1,3.6,9.6,30,80,35,3.2,0.6,0.9
chicken curry,106.3,100.0,4.6,0.6,12.1,30,96,31,3.2,0.6,0.9
vegetable curry,78.3,100.0,3.7,1.9,2.4,132,43,0,10.0,2.4,2.6
vegetable biryani,118.1,100.0,2.3,0.3,2.5,187,48,0,22.2,1.1,2.1
egg curry,90.9,100.0,5.5,1.0,4.3,31,71,84,5.8,1.5,2.6
bharta,49.8,100.0,2.4,0.2,0.9,152,20,0,7.5,2.1,3.0
fish curry,142.6,100.0,7.2,1.0,17.1,353,244,52,2.9,0.5,1.3
shahi paneer,131.6,100.0,10.1,4.3,4.8,233,108,21,5.1,1.0,3.0
keema,165.1,100.0,10.8,2.6,10.7,97,113,29,6.2,1.9,2.4
rajma,98.5,100.0,2.6,0.6,5.3,228,83,1,15.1,3.7,3.1
roti,296.9,100.0,9.0,3.3,7.8,294,156,0,45.6,9.5,3.0
naan,284.4,100.0,5.6,1.4,9.6,463,100,0,51.2,2.2,3.5
paratha,317.7,100.0,13.1,5.8,6.4,452,120,0,46.1,9.6,4.2
nihari,113.3,100.0,8.3,2.0,7.2,36,55,21,2.8,0.5,0.0
chicken vindaloo,86.6,100.0,4.2,0.7,7.9,36,75,20,5.0,0.8,2.3
aloo paratha,231.1,100.0,8.0,3.6,4.7,282,92,0,34.6,6.6,3.2
pizza,262.9,100.0,9.8,4.5,11.4,587,217,16,32.9,2.3,3.6
chicken pizza,257.1,100.0,9.1,4.0,13.6,528,220,26,29.5,2.0,3.2
vegetable pizza,247.4,100.0,9.3,4.0,10.1,577,192,15,30.6,2.3,3.5
cheese pizza,259.6,100.0,9.6,4.5,11.4,596,214,17,32.9,2.3,3.6
pepperoni pizza,274.3,100.0,11.7,5.1,11.7,694,196,24,32.1,2.3,3.3
margherita pizza,162.3,100.0,8.3,2.0,4.3,371,60,6,16.7,1.5,1.5
bbq chicken pizza,246.2,100.0,9.4,4.4,13.7,526,241,29,26.3,0.9,4.7
hawaiian pizza,229.8,100.0,8.4,3.8,10.9,588,185,19,27.8,2.1,3.9
supreme pizza,242.6,100.0,10.8,4.4,11.0,577,181,27,25.8,2.2,3.8
burger,237.7,100.0,11.5,4.7,15.2,356,137,53,18.1,0.0,0.0
cheese burger,263.8,100.0,14.1,7.1,15.1,592,181,47,19.7,1.2,3.6
chicken sandwich,243.9,100.0,11.2,2.1,16.2,767,184,35,20.9,1.4,3.6
meat sandwich,299.8,100.0,17.2,5.5,19.2,276,175,60,15.3,1.8,1.2
fish sandwich,281.5,100.0,14.6,2.9,11.3,428,138,36,26.0,0.8,3.6
